date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:09	131/131	---MCZ	200	added ('OK')	text/plain	etag:%229178-1726008057;gz%22	https://klariselaundry.co.id/robots.txt		(from )
11:29:15	201944/201944	---MCZ	200	added ('OK')	text/html	etag:%229247-1726027049;gz%22	https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/index5e0c.html	(from )
11:29:16	45375/45375	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jun%202024%2020:42:35%20GMT	https://klariselaundry.co.id/wp-content/plugins/whatsapp-wp/assets/dist/css/style.css?ver=6.6.2	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/wp-content/plugins/whatsapp-wp/assets/dist/css/style109c.css	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:17	243181/243181	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jun%202024%2016:33:03%20GMT	https://klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-all.min.css?ver=1726027049	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-all.mina8c0.css	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:18	1354/1354	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d0e9f77ad8f6ff97eadc1c6e6144ed0f%22	https://klariselaundry.co.id/feed/	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/feed/index.html	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:18	968/968	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d0e9f77ad8f6ff97eadc1c6e6144ed0f%22	https://klariselaundry.co.id/comments/feed/	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/comments/feed/index.html	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:18	201648/201648	---M-Z	200	added ('OK')	text/html	etag:%229353-1726072319;gz%22	https://klariselaundry.co.id/	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/index.html	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:18	16471/16471	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jul%202024%2012:59:12%20GMT	https://klariselaundry.co.id/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:20	198821/198821	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jun%202024%2016:33:03%20GMT	https://klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-menu.css?ver=1726027049	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-menua8c0.css	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
11:29:20	715760/715760	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jun%202024%2016:33:03%20GMT	https://klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-custom.css?ver=1726027049	C:/My%20Web%20Sites/rancak-laundry-web2/klariselaundry.co.id/wp-content/themes/busia/assets/css/busia-customa8c0.css	(from https://klariselaundry.co.id/?gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfI1k7c2IruQCRaH3x4bhr-fFyI3fo2h_cYdzotHQRiZn4yh796SzQhoCIGUQAvD_BwE)
